,hoard_id,coin_group_id,start_year,end_year,revised_start,revised_end,ruler,revised_ruler,denomination,num_coins,mint,imported,created,updated
24464,1662,23461,388.0,402.0,388.0,402.0,House of Theodosius,House of Theodosius,AE 1-4 (UK find),1.0,,2017-08-28 08:25:10.162802,2015-07-21T11:31:51Z,
24635,1876,25145,,,306.0,337.0,Constantine I,Constantine I,AE 1-4 (UK find),,,2017-08-28 08:25:10.162802,2015-08-19T16:31:05Z,
24637,1876,25147,,,311.0,330.0,Crispus,Crispus,AE 1-4 (UK find),,,2017-08-28 08:25:10.162802,2015-08-19T16:31:26Z,
24638,1876,25148,,,337.0,340.0,Constantine II,Constantine II,AE 1-4 (UK find),,,2017-08-28 08:25:10.162802,2015-08-19T16:31:40Z,
24661,1688,18744,337.0,361.0,337.0,361.0,House of Constantine,House of Constantine,AE 1-4 (UK find),2.0,,2017-08-28 08:25:10.162802,2015-01-15T16:49:01Z,2015-09-11T11:00:22Z
24672,1547,24403,,,307.0,363.0,House of Constantine,House of Constantine,AE 1-4 (UK find),,,2017-08-28 08:25:10.162802,2015-08-07T12:50:02Z,
24673,1547,24404,,,350.0,353.0,Magnentius,Magnentius,AE 1-4 (UK find),,,2017-08-28 08:25:10.162802,2015-08-07T12:50:13Z,
24674,1547,24405,,,364.0,378.0,Valens,Valens,AE 1-4 (UK find),,,2017-08-28 08:25:10.162802,2015-08-07T12:50:23Z,
24675,1547,24406,,,395.0,408.0,Arcadius,Arcadius,AE 1-4 (UK find),,,2017-08-28 08:25:10.162802,2015-08-07T12:50:32Z,
24685,656,22287,,,306.0,337.0,Constantine I,Constantine I,AE 1-4 (UK find),,,2017-08-28 08:25:10.162802,2015-06-03T16:05:57Z,
24686,656,22288,,,330.0,350.0,Constans,Constans I,AE 1-4 (UK find),,,2017-08-28 08:25:10.162802,2015-06-03T16:06:30Z,
24748,943,23307,,,300.0,399.0,Uncertain - 4th century,Unknown,AE 1-4 (UK find),22.0,,2017-08-28 08:25:10.162802,2015-07-20T08:31:30Z,
24862,592,21990,,,306.0,337.0,Constantine I,Constantine I,AE 1-4 (UK find),,,2017-08-28 08:25:10.162802,2015-06-01T08:16:44Z,
