id,Name,Description,Latitude,Longitude,Geonamesid,AdminDivision,AdminDivisionNameLong,Region,RomanProvince,Rhineside
2517,Murony,,46.7666700,21.0500000,NULL,HU_03_1198,Murony,NULL,NULL,NULL
2518,Mórahalom,Szeged-Alsóközpont,46.2180600,19.8851000,NULL,HU_06_434,Mórahalom,NULL,NULL,NULL
2519,Ásotthalom,,46.1987500,19.7833400,NULL,HU_06_1033,Ásotthalom,NULL,NULL,NULL
2520,Szeged,,46.2530000,20.1482400,NULL,HU_06_3336,Szeged,NULL,NULL,NULL
2521,Röszke,,46.1879600,20.0337200,NULL,HU_06_1316,Röszke,NULL,NULL,NULL
2522,"Szeghegy (SR)",Sikič,45.6816000,19.6920500,NULL,,,NULL,NULL,NULL
2523,"Ókeresztúr (SR)","Szerbkeresztúr, Srpski Krstur",46.1283600,20.0926800,NULL,,,NULL,NULL,NULL
2524,"Nagyszentmiklós (RO)","Sânnicolau Mare",46.0833300,20.6333300,NULL,,,NULL,NULL,NULL
2525,Szirák,,47.8309500,19.5310500,NULL,HU_13_2163,Szirák,NULL,NULL,NULL
2526,Szob,,47.8192100,18.8702000,NULL,HU_14_2491,Szob,NULL,NULL,NULL
2527,Tápiószentmárton,,47.3399000,19.7464800,NULL,HU_14_1457,Tápiószentmárton,NULL,NULL,NULL
2528,Gávavencsellő,,48.1667200,21.5737100,NULL,HU_16_580,Gávavencsellő,NULL,NULL,NULL
2529,Tiszalök,,48.0166700,21.3833300,NULL,HU_16_2352,Tiszalök,NULL,NULL,NULL
2530,"Törökkanizsa (SR)","Novi Kneževac",46.0500000,20.1000000,NULL,,,NULL,NULL,NULL
2531,"Verbász (SR)",Vrbas,45.5713900,19.6408300,NULL,,,NULL,NULL,NULL
2532,Váchartyán,,47.7221500,19.2624700,NULL,HU_14_1988,Váchartyán,NULL,NULL,NULL
2533,Békés,,46.7666700,21.1333300,NULL,HU_03_976,Békés,NULL,NULL,NULL
2534,"Vizesd (RO)",Vizejdia,45.9423300,20.6560000,NULL,,,NULL,NULL,NULL
2535,"Vöröstemplom (SR)","Crvena Crkva",44.9002800,21.3652800,NULL,,,NULL,NULL,NULL
2536,Zebegény,,47.7997700,18.9110000,NULL,HU_14_1496,Zebegény,NULL,NULL,NULL
2537,"Zenta (SR)",Senta,45.9275000,20.0772200,NULL,,,NULL,NULL,NULL
2538,Gádoros,,46.6666700,20.6000000,NULL,HU_03_951,Gádoros,NULL,NULL,NULL
2539,Bükkzsérc,,47.9666700,20.5000000,NULL,HU_04_3288,Bükkzsérc,NULL,NULL,NULL
2540,"Csúrog (SRB)","Čurug ",45.4722100,20.0686100,NULL,,,NULL,NULL,NULL
2541,Dunapataj,,46.6440000,18.9963200,NULL,HU_01_786,Dunapataj,NULL,NULL,NULL
2542,Dunavecse,,46.9147800,18.9712700,NULL,HU_01_761,Dunavecse,NULL,NULL,NULL
2543,Solt,,46.8010100,19.0009800,NULL,HU_01_2911,Solt,NULL,NULL,NULL
2544,Pócspetri,,47.8872100,21.9931000,NULL,HU_16_1124,Pócspetri,NULL,NULL,NULL
2545,Kántorjánosi,,47.9333300,22.1500000,NULL,HU_16_267,Kántorjánosi,NULL,NULL,NULL
2546,Orgovány,,46.7508700,19.4725900,NULL,HU_01_1693,Orgovány,NULL,NULL,NULL
2547,Bagamér,,47.4488200,21.9890000,NULL,HU_09_2001,Bagamér,NULL,NULL,NULL
