id	FindSpot	Place	AdminDivision	Material	Mint	Mint2	Period	Denomination	Denomination2	FindCategory	CoinImage	CoinImage2	DateFrom	DateTo	DateWritten	MintMark	Countermark	Weight	DieAxis	Status	CoinType	Coin_Quantity	ObverseDescription	ReverseDescription	ObverseLegend	ReverseLegend																																																																																																																																																
44	3844	2301	HU_03_2387	NULL	58	NULL	3	54	NULL	NULL	NULL	NULL	364	367				2.27	12	NULL	19	1																																																																																																																																																				
45	3844	2301	HU_03_2387	bronze	NULL	NULL	3	56	NULL	NULL	NULL	NULL	NULL	NULL				1.87	NULL	NULL	NULL	1																																																																																																																																																				
46	3844	2301	HU_03_2387	NULL	69	NULL	3	54	NULL	NULL	NULL	NULL	367	375				2.2	7	NULL	13	1																																																																																																																																																				
47	3844	2301	HU_03_2387	NULL	76	NULL	3	56	NULL	NULL	NULL	NULL	342	348		E		0.97	6	NULL	25	1																																																																																																																																																				
48	3844	2301	HU_03_2387	NULL	69	NULL	NULL	54	NULL	NULL	NULL	NULL	361	363				2.95	12	NULL	NULL	1				VOT X MVLT XX																																																																																																																																																
49	3844	2301	HU_03_2387	NULL	25	NULL	NULL	16	NULL	NULL	45	NULL	258	260				1.77	4	NULL	NULL	1				CONSECRATIO																																																																																																																																																
50	3844	2301	HU_03_2387	NULL	50	NULL	NULL	19	NULL	NULL	NULL	NULL	183	183				1.42	6	NULL	NULL	1		Roma																																																																																																																																																		
51	3844	2301	HU_03_2387	NULL	76	NULL	NULL	54	NULL	NULL	NULL	NULL	367	375		*?		2.19	12	NULL	13	1																																																																																																																																																				
52	3844	2301	HU_03_2387	NULL	50	NULL	NULL	19	NULL	NULL	NULL	NULL	168	170				2.68	7	imitation	NULL	1																																																																																																																																																				
53	3844	2301	HU_03_2387	NULL	86	NULL	NULL	54	NULL	NULL	NULL	NULL	408	423				1.91	6	NULL	13	1		2 császár																																																																																																																																																		
54	3844	2301	HU_03_2387	NULL	NULL	NULL	3	19	NULL	NULL	NULL	NULL	NULL	NULL				1.61	NULL	NULL	NULL	1																																																																																																																																																				
56	3844	2301	HU_03_2387	NULL	NULL	NULL	3	56	NULL	NULL	NULL	NULL	336	342				0.75	6	NULL	10	1																																																																																																																																																				
57	3844	2301	HU_03_2387	NULL	80	NULL	NULL	56	NULL	NULL	NULL	NULL	347	348		?		1.28	6	NULL	NULL	1																																																																																																																																																				
58	3844	2301	HU_03_2387	bronze	NULL	NULL	NULL	19	NULL	NULL	NULL	NULL	NULL	NULL				1.87	6	imitation	NULL	1		Liberalitas?																																																																																																																																																		
59	3844	2301	HU_03_2387	NULL	69	NULL	NULL	54	NULL	NULL	NULL	NULL	367	375				3.23	12	NULL	NULL	1																																																																																																																																																				
61	3844	2301	HU_03_2387	NULL	79	NULL	NULL	56	NULL	NULL	NULL	NULL	347	348				0.44	12	NULL	NULL	1				VOT XX MVLT XXX																																																																																																																																																
62	3844	2301	HU_03_2387	NULL	58	NULL	NULL	56	NULL	NULL	NULL	NULL	342	348		P		1.32	12	NULL	NULL	1																																																																																																																																																				
63	3844	2301	HU_03_2387	NULL	39	NULL	NULL	56	NULL	NULL	NULL	NULL	NULL	NULL				0.8	3	NULL	NULL	1																																																																																																																																																				
64	3844	2301	HU_03_2387	NULL	NULL	NULL	NULL	54	NULL	NULL	NULL	NULL	364	378				1.15	6	NULL	19	1																																																																																																																																																				
65	3844	2301	HU_03_2387	NULL	69	NULL	NULL	56	NULL	NULL	NULL	NULL	342	348		?		1.31	12	NULL	NULL	1																																																																																																																																																				
66	3844	2301	HU_03_2387	NULL	79	NULL	NULL	56	NULL	NULL	NULL	NULL	337	340				1.75	11	NULL	17	1																																																																																																																																																				
67	3844	2301	HU_03_2387	NULL	NULL	NULL	NULL	56	NULL	NULL	NULL	NULL	NULL	NULL				NULL	NULL	NULL	NULL	1																																																																																																																																																				
68	3844	2301	HU_03_2387	NULL	NULL	NULL	NULL	54	NULL	NULL	NULL	NULL	364	378			D	1.88	12	NULL	19	1																																																																																																																																																				
69	3844	2301	HU_03_2387	NULL	NULL	NULL	NULL	56	NULL	NULL	NULL	NULL	357	360				1.51	6	NULL	NULL	1				SPES REIPVBLICE																																																																																																																																																
70	3844	2301	HU_03_2387	NULL	58	NULL	NULL	54	NULL	NULL	NULL	NULL	383	387				2.05	12	NULL	13	1																																																																																																																																																				
71	3844	2301	HU_03_2387	NULL	50	NULL	NULL	19	NULL	NULL	NULL	NULL	164	180				2.16	7	NULL	NULL	1		Venus																																																																																																																																																		
72	3844	2301	HU_03_2387	bronze	NULL	NULL	NULL	16	NULL	NULL	NULL	NULL	268	270				2.77	NULL	NULL	NULL	1																																																																																																																																																				
73	3844	2301	HU_03_2387	NULL	50	NULL	NULL	19	NULL	NULL	NULL	NULL	138	161				2.01	12	NULL	NULL	1																																																																																																																																																				
74	3844	2301	HU_03_2387	NULL	50	NULL	NULL	26	NULL	NULL	201	179	112	117				6.92	NULL	NULL	NULL	1																																																																																																																																																				
75	3844	2301	HU_03_2387	NULL	69	NULL	NULL	54	NULL	NULL	NULL	NULL	367	375				2.34	1	NULL	13	1																																																																																																																																																				
76	3844	2301	HU_03_2387	NULL	58	NULL	NULL	54	NULL	NULL	NULL	NULL	367	375				1.81	12	NULL	13	1																																																																																																																																																				
77	3844	2301	HU_03_2387	NULL	58	NULL	NULL	54	NULL	NULL	NULL	NULL	364	367				2.49	12	NULL	13	1																																																																																																																																																				
78	3844	2301	HU_03_2387	NULL	50	NULL	NULL	19	NULL	NULL	NULL	NULL	79	79				2.75	5	NULL	NULL	1		Ceres																																																																																																																																																		
79	3844	2301	HU_03_2387	NULL	25	NULL	NULL	54	NULL	NULL	NULL	NULL	367	375				1.84	12	NULL	19	1																																																																																																																																																				
80	3844	2301	HU_03_2387	NULL	50	NULL	NULL	54	NULL	NULL	NULL	NULL	367	375				2.48	1	NULL	19	1																																																																																																																																																				
81	3844	2301	HU_03_2387	NULL	69	NULL	NULL	54	NULL	NULL	NULL	NULL	364	367				1.71	6	NULL	13	1																																																																																																																																																				
82	3844	2301	HU_03_2387	NULL	50	NULL	NULL	19	NULL	NULL	NULL	NULL	141	161				2.91	6	NULL	NULL	1		páva																																																																																																																																																		
83	3844	2301	HU_03_2387	NULL	86	NULL	NULL	54	NULL	NULL	NULL	NULL	313	315		?		3.19	7	NULL	NULL	1		Juppiter																																																																																																																																																		
84	3844	2301	HU_03_2387	NULL	69	NULL	NULL	54	NULL	NULL	NULL	NULL	367	375				2.14	1	NULL	19	1																																																																																																																																																				
85	3844	2301	HU_03_2387	bronze	50	NULL	NULL	19	NULL	NULL	NULL	NULL	172	173				2.04	6	imitation	NULL	1		Mercurius																																																																																																																																																		
86	3844	2301	HU_03_2387	NULL	76	NULL	NULL	56	NULL	NULL	NULL	NULL	342	348				1.43	11	NULL	25	1																																																																																																																																																				
87	3844	2301	HU_03_2387	NULL	83	NULL	NULL	54	NULL	NULL	NULL	NULL	364	367		A		1.91	11	NULL	13	1																																																																																																																																																				
88	3844	2301	HU_03_2387	bronze	50	NULL	NULL	19	NULL	NULL	NULL	NULL	145	160				2.2	6	NULL	NULL	1		templom																																																																																																																																																		
89	3844	2301	HU_03_2387	NULL	50	NULL	NULL	19	NULL	NULL	NULL	NULL	159	161				3.08	1	NULL	NULL	1		Fortuna																																																																																																																																																		
90	3844	2301	HU_03_2387	NULL	50	NULL	NULL	28	NULL	NULL	19	NULL	164	180				13.76	6	NULL	NULL	1																																																																																																																																																				
91	3844	2301	HU_03_2387	NULL	76	NULL	NULL	54	NULL	NULL	NULL	NULL	367	375		?		2.84	12	NULL	13	1																																																																																																																																																				
92	3844	2301	HU_03_2387	NULL	50	NULL	NULL	19	NULL	NULL	NULL	NULL	145	161				2.88	11	NULL	NULL	1		Felicitas/Pax																																																																																																																																																		
93	3844	2301	HU_03_2387	NULL	69	NULL	NULL	54	NULL	NULL	NULL	NULL	367	375				2.22	12	NULL	19	1																																																																																																																																																				
94	3844	2301	HU_03_2387	NULL	NULL	NULL	8	54	NULL	NULL	NULL	NULL	NULL	NULL				0.9	NULL	imitation	NULL	1																																																																																																																																																				
95	3844	2301	HU_03_2387	NULL	NULL	NULL	NULL	56	NULL	NULL	NULL	NULL	342	348				1.37	6	NULL	25	1																																																																																																																																																				
96	3845	2302	HU_11_2526	NULL	50	NULL	NULL	19	NULL	NULL	NULL	NULL	NULL	NULL				2.43	NULL	NULL	NULL	1				LIBERA...																																																																																																																																																
98	3846	2302	HU_11_2526	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	351	352				4.5	NULL	NULL	5	1	A																																																																																																																																																			
99	3847	2302	HU_11_2526	NULL	NULL	NULL	NULL	19	NULL	3	NULL	NULL	NULL	NULL				NULL	NULL	NULL	NULL	1																																																																																																																																																				
100	3847	2302	HU_11_2526	NULL	50	NULL	NULL	60	NULL	3	NULL	NULL	NULL	NULL				NULL	NULL	NULL	NULL	1																																																																																																																																																				
101	NULL	2302	HU_11_2526	NULL	69	NULL	NULL	53	NULL	NULL	NULL	NULL	350	351				2.25	NULL	NULL	NULL	1	A	Cs 2 labarummal		[CONCORDIA] MILITVM / III / -																																																																																																																																																
102	NULL	2303	HU_11_1664	NULL	50	NULL	NULL	19	NULL	NULL	NULL	NULL	114	117				3.2	NULL	NULL	NULL	1		Fortuna Redux																																																																																																																																																		
103	NULL	2304	HU_11_2292	NULL	NULL	NULL	NULL	16	NULL	NULL	NULL	NULL	NULL	NULL				2.07	NULL	NULL	NULL	1				CLEMENTIA TEMP																																																																																																																																																
104	NULL	2304	HU_11_2292	NULL	NULL	NULL	NULL	16	NULL	NULL	NULL	NULL	294	299				1.4	NULL	NULL	NULL	1				[CONC]ORDIA MILI[TVM]																																																																																																																																																
105	NULL	2304	HU_11_2292	NULL	NULL	NULL	NULL	54	NULL	NULL	NULL	NULL	330	336				1.67	NULL	NULL	11	1																																																																																																																																																				
106	3938	2305	HU_11_3071	NULL	86	NULL	NULL	16	NULL	NULL	NULL	NULL	295	299		B		2.45	NULL	NULL	NULL	1																																																																																																																																																				
107	NULL	2305	HU_11_3071	NULL	50	NULL	NULL	19	NULL	NULL	16	NULL	141	161				2.84	NULL	NULL	NULL	1		csillag																																																																																																																																																		
108	NULL	2305	HU_11_3071	NULL	50	NULL	NULL	26	NULL	NULL	NULL	NULL	72	72				13.22	NULL	NULL	NULL	1	Titus	Felicitas																																																																																																																																																		
109	NULL	2305	HU_11_3071	NULL	50	NULL	NULL	19	NULL	NULL	NULL	NULL	164	181				2.22	NULL	NULL	NULL	1		Diana																																																																																																																																																		
110	NULL	2305	HU_11_3071	NULL	50	NULL	NULL	19	NULL	NULL	NULL	NULL	223	223				2.51	NULL	NULL	NULL	1		Jupiter																																																																																																																																																		
111	NULL	2305	HU_11_3071	NULL	222	NULL	NULL	25	NULL	NULL	NULL	NULL	243	244				15.8	NULL	NULL	NULL	1																																																																																																																																																				
112	NULL	2305	HU_11_3071	NULL	50	NULL	NULL	16	NULL	NULL	NULL	NULL	260	268				2.77	NULL	NULL	NULL	1		szarvas																																																																																																																																																		
113	3890	2305	HU_11_3071	NULL	50	NULL	NULL	28	NULL	NULL	NULL	NULL	22	30				10.7	NULL	NULL	NULL	1		oltár																																																																																																																																																		
114	3890	2305	HU_11_3071	NULL	50	NULL	NULL	19	NULL	NULL	NULL	NULL	76	76				3.26	NULL	NULL	NULL	1		sas																																																																																																																																																		
115	3890	2305	HU_11_3071	NULL	NULL	NULL	NULL	54	NULL	NULL	NULL	NULL	353	358				2.53	NULL	NULL	5	1		N																																																																																																																																																		
116	3890	2305	HU_11_3071	NULL	50	NULL	NULL	25	NULL	NULL	NULL	NULL	177	178				17.87	NULL	NULL	NULL	1																																																																																																																																																				
117	3890	2305	HU_11_3071	NULL	50	NULL	NULL	25	NULL	NULL	NULL	NULL	183	184				20.72	NULL	NULL	NULL	1		Felicitas																																																																																																																																																		
118	3890	2305	HU_11_3071	NULL	50	NULL	NULL	19	NULL	NULL	NULL	NULL	219	219				2.35	NULL	NULL	NULL	1		Providentia																																																																																																																																																		
119	3890	2305	HU_11_3071	NULL	50	NULL	NULL	19	NULL	NULL	NULL	NULL	227	227				2.85	NULL	NULL	NULL	1		Aequitas																																																																																																																																																		
120	3890	2305	HU_11_3071	NULL	222	NULL	NULL	25	NULL	NULL	NULL	NULL	251	252		AN XIII		13.31	NULL	NULL	NULL	1																																																																																																																																																				
121	3891	2305	HU_11_3071	NULL	NULL	NULL	NULL	19	NULL	3	NULL	NULL	NULL	NULL				NULL	NULL	NULL	NULL	1																																																																																																																																																				
122	3892	2305	HU_11_3071	NULL	86	NULL	NULL	16	NULL	NULL	NULL	NULL	NULL	NULL		starB		3.35	NULL	NULL	NULL	1		n?+cs																																																																																																																																																		
123	3892	2305	HU_11_3071	NULL	NULL	NULL	NULL	16	NULL	NULL	197	NULL	NULL	NULL				3.11	NULL	NULL	NULL	1		Concordia																																																																																																																																																		
124	NULL	2305	HU_11_3071	NULL	69	NULL	NULL	54	NULL	NULL	NULL	NULL	364	367				2.35	NULL	NULL	19	1																																																																																																																																																				
125	NULL	2306	HU_11_2210	NULL	50	NULL	NULL	19	NULL	NULL	NULL	NULL	133	135				3.08	NULL	NULL	NULL	1		Iuno																																																																																																																																																		
126	NULL	2306	HU_11_2210	NULL	69	NULL	NULL	54	NULL	NULL	NULL	NULL	351	355				1.74	NULL	NULL	5	1																																																																																																																																																				
127	NULL	2306	HU_11_2210	NULL	50	NULL	NULL	19	NULL	NULL	NULL	NULL	166	166				2.92	NULL	NULL	NULL	1		Victoria																																																																																																																																																		
128	NULL	2306	HU_11_2210	NULL	50	NULL	NULL	19	NULL	NULL	21	NULL	NULL	NULL				2.56	NULL	NULL	NULL	1				CONSEC[...] 																																																																																																																																																
